Afghanistan;Afghanistan - Fixed;93;0.1138;FIX
Afghanistan;Afghanistan - Mobile AWCC;9370;0.1262;MOB
Afghanistan;Afghanistan - Mobile Etisalat;9378;0.1167;MOB
Afghanistan;Afghanistan - Mobile MTN;9377;0.1348;MOB
Afghanistan;Afghanistan - Mobile Others;9375;0.1206;MOB
Afghanistan;Afghanistan - Mobile Roshan;9379;0.1343;MOB
Afghanistan;Afghanistan - Mobile WASEL;937500;0.1204;MOB
Afghanistan;Afghanistan - Mobile WASEL;937501;0.1204;MOB
Afghanistan;Afghanistan - Mobile WASEL;937502;0.1204;MOB
Afghanistan;Afghanistan - Mobile WASEL;937503;0.1204;MOB
Afghanistan;Afghanistan - Mobile WASEL;937504;0.1204;MOB
Albania;Albania - Fixed;355;0.0293;FIX
Albania;Albania - Fixed;35540;0.0293;FIX
Albania;Albania - Fixed;35541;0.0293;FIX
Albania;Albania - Fixed;355420;0.0293;FIX
Albania;Albania - Fixed;355421;0.0293;FIX
Albania;Albania - Fixed;3554253;0.0293;FIX
Albania;Albania - Fixed;3554254;0.0293;FIX
Albania;Albania - Fixed;3554255;0.0293;FIX
Albania;Albania - Fixed;3554256;0.0293;FIX
Albania;Albania - Fixed;3554257;0.0293;FIX
Albania;Albania - Fixed;3554258;0.0293;FIX
Albania;Albania - Fixed;3554259;0.0293;FIX
Albania;Albania - Fixed;355426;0.0293;FIX
Albania;Albania - Fixed;355427;0.0293;FIX
Albania;Albania - Fixed;355428;0.0293;FIX
Albania;Albania - Fixed;355429;0.0293;FIX
Albania;Albania - Fixed;35543;0.0293;FIX
Albania;Albania - Fixed;35544;0.0293;FIX
Albania;Albania - Fixed;35545;0.0293;FIX
Albania;Albania - Fixed;35546;0.0293;FIX
Albania;Albania - Fixed;35547;0.0293;FIX
Albania;Albania - Fixed;35548;0.0293;FIX
Albania;Albania - Fixed;35549;0.0293;FIX
Albania;Albania - Fixed ALBTEL;3554249;0.0197;FIX
Albania;Albania - Fixed Tirana;355422;0.0284;FIX
Albania;Albania - Fixed Tirana;355423;0.0284;FIX
Albania;Albania - Fixed Tirana;3554240;0.0284;FIX
Albania;Albania - Fixed Tirana;3554241;0.0284;FIX
Albania;Albania - Fixed Tirana;3554242;0.0284;FIX
Albania;Albania - Fixed Tirana;3554243;0.0284;FIX
Albania;Albania - Fixed Tirana;3554244;0.0284;FIX
Albania;Albania - Fixed Tirana;3554245;0.0284;FIX
Albania;Albania - Fixed Tirana;3554246;0.0284;FIX
Albania;Albania - Fixed Tirana;3554247;0.0284;FIX
Albania;Albania - Fixed Tirana;3554248;0.0284;FIX
Albania;Albania - Interactive TV;35534606;0.0294;MOB
Albania;Albania - Interactive TV;35534607;0.0294;MOB
Albania;Albania - Interactive TV;35534608;0.0294;MOB
Albania;Albania - Interactive TV;35534609;0.0294;MOB
Albania;Albania - Interactive TV;35535504;0.0294;MOB
