"Afghanistan - Fixed ";93;0;1091;"FALSO"
"Afghanistan - Mobile AWCC ";9370;0;1271;"FALSO"
"Afghanistan - Mobile Etisalat ";9378;0;1170;"FALSO"
"Afghanistan - Mobile MTN ";9377;0;1362;"FALSO"
"Afghanistan - Mobile Others ";9375;0;1060;"FALSO"
"Afghanistan - Mobile Roshan ";9379;0;1329;"FALSO"
"Afghanistan - Mobile WASEL ";937500;0;1061;"FALSO"
"Afghanistan - Mobile WASEL ";937501;0;1061;"FALSO"
"Afghanistan - Mobile WASEL ";937502;0;1061;"FALSO"
"Afghanistan - Mobile WASEL ";937503;0;1061;"FALSO"
"Afghanistan - Mobile WASEL ";937504;0;1061;"FALSO"
"Albania - Fixed ";355;0;292;"FALSO"
"Albania - Fixed ";35540;0;292;"FALSO"
"Albania - Fixed ";35541;0;292;"FALSO"
"Albania - Fixed ";355420;0;292;"FALSO"
"Albania - Fixed ";355421;0;292;"FALSO"
"Albania - Fixed ";3554253;0;292;"FALSO"
