SPADT;11001;ADAMANTINA;ADAMANTINA;189;183502;55183502;TELEFÔNICA-TELESP;LDN;0,152
SPADT;11001;ADAMANTINA;ADAMANTINA;189;183521;55183521;TELEFÔNICA-TELESP;LDN;0,152
SPADT;11001;ADAMANTINA;ADAMANTINA;189;183522;55183522;TELEFÔNICA-TELESP;LDN;0,152
SPADT;11001;ADAMANTINA;ADAMANTINA;189;183559;55183559;TELEFÔNICA-TELESP;LDN;0,152
SPADT;11001;ADAMANTINA;ADAMANTINA;189;183579;55183579;TELEFÔNICA-TELESP;LDN;0,152
SPAOF;11002;ADOLFO;ADOLFO;172;173814;55173814;TELEFÔNICA-TELESP;LDN;0,152
SPAAI;11004;AGUAÍ;AGUAÍ;196;193652;55193652;TELEFÔNICA-TELESP;LDN;0,152
SPAAI;11004;AGUAÍ;AGUAÍ;196;193653;55193653;TELEFÔNICA-TELESP;LDN;0,152
SPAGT;11005;ÁGUAS DA PRATA;ÁGUAS DA PRATA;196;193642;55193642;TELEFÔNICA-TELESP;LDN;0,152
SPAGT;11005;ÁGUAS DA PRATA;ÁGUAS DA PRATA;196;193649;55193649;TELEFÔNICA-TELESP;LDN;0,152
SPSRF;A11951;SAO ROQUE DA FARTURA;ÁGUAS DA PRATA;196;193649;55193649;TELEFÔNICA-TELESP;LDN;0,152
SPAGL;11006;ÁGUAS DE LINDÓIA;ÁGUAS DE LINDÓIA;192;193824;55193824;TELEFÔNICA-TELESP;LOCAL;0,103
SPAGL;11006;ÁGUAS DE LINDÓIA;ÁGUAS DE LINDÓIA;192;193924;55193924;TELEFÔNICA-TELESP;LOCAL;0,103
SPABB;11928;ÁGUAS DE SANTA BÁRBARA;ÁGUAS DE SANTA BÁRBARA;147;143765;55143765;TELEFÔNICA-TELESP;LDN;0,152
SPPQL;A12745;PARQUE DOS LAGOS;ÁGUAS DE SANTA BÁRBARA;147;143765;55143765;TELEFÔNICA-TELESP;LDN;0,152
SPASO;11007;ÁGUAS DE SÃO PEDRO;ÁGUAS DE SÃO PEDRO;194;193482;55193482;TELEFÔNICA-TELESP;LDN;0,152
SPAGS;11008;AGUDOS;AGUDOS;142;143261;55143261;TELEFÔNICA-TELESP;LDN;0,152
SPAGS;11008;AGUDOS;AGUDOS;142;143262;55143262;TELEFÔNICA-TELESP;LDN;0,152
SPDOM;E11902;DOMELIA;AGUDOS;142;143291;55143291;TELEFÔNICA-TELESP;LDN;0,152
SPALA;M11010;ALAMBARI;ALAMBARI;152;153274;55153274;TELEFÔNICA-TELESP;LDN;0,152
SPALA;M11010;ALAMBARI;ALAMBARI;152;153374;55153374;TELEFÔNICA-TELESP;LDN;0,152
SPAFS;11012;ALFREDO MARCONDES;ALFREDO MARCONDES;182;183266;55183266;TELEFÔNICA-TELESP;LDN;0,152
SPATI;11013;ALTAIR;ALTAIR;172;173889;55173889;TELEFÔNICA-TELESP;LDN;0,152
SPANP;12126;ALTINÓPOLIS;ALTINÓPOLIS;166;163659;55163659;CTBCTELECOM;LDN;0,152
SPANP;12126;ALTINÓPOLIS;ALTINÓPOLIS;166;163665;55163665;CTBCTELECOM;LDN;0,152
SPAAL;11014;ALTO ALEGRE;ALTO ALEGRE;186;183657;55183657;TELEFÔNICA-TELESP;LDN;0,152
SPJAT;O11320;JATOBA;ALTO ALEGRE;186;183656;55183656;TELEFÔNICA-TELESP;LDN;0,152
SPSMD;O11568;SAO MARTINHO D'OESTE;ALTO ALEGRE;186;183656;55183656;TELEFÔNICA-TELESP;LDN;0,152
SPAMI;O12214;ALUMÍNIO;ALUMÍNIO;11;114715;55114715;TELEFÔNICA-TELESP;LDN;0,152
SPAFE;11015;ÁLVARES FLORENCE;ÁLVARES FLORENCE;174;173486;55173486;TELEFÔNICA-TELESP;LDN;0,152
SPBVA;D11106;BOA VISTA DOS ANDRADAS;ÁLVARES FLORENCE;174;173486;55173486;TELEFÔNICA-TELESP;LDN;0,152
SPAMH;11016;ÁLVARES MACHADO;ÁLVARES MACHADO;182;183253;55183253;TELEFÔNICA-TELESP;LDN;0,152
SPAMH;11016;ÁLVARES MACHADO;ÁLVARES MACHADO;182;183273;55183273;TELEFÔNICA-TELESP;LDN;0,152
SPCLG;L12208;CORONEL GOULART;ÁLVARES MACHADO;182;183253;55183253;TELEFÔNICA-TELESP;LDN;0,152
SPCLG;L12208;CORONEL GOULART;ÁLVARES MACHADO;182;183273;55183273;TELEFÔNICA-TELESP;LDN;0,152
SPAVV;11017;ÁLVARO DE CARVALHO;ÁLVARO DE CARVALHO;144;143484;55143484;TELEFÔNICA-TELESP;LDN;0,152
SPAVD;11018;ALVINLÂNDIA;ALVINLÂNDIA;144;143473;55143473;TELEFÔNICA-TELESP;LDN;0,152
SPAMR;11020;AMERICANA;AMERICANA;194;192108;55192108;EMBRATEL;LDN;0,152
SPAMR;11020;AMERICANA;AMERICANA;194;192109;55192109;EMBRATEL;LDN;0,152
SPAMR;11020;AMERICANA;AMERICANA;194;193012;55193012;EMBRATEL;LDN;0,152
SPAMR;11020;AMERICANA;AMERICANA;194;193013;55193013;EMBRATEL;LDN;0,152
SPAMR;11020;AMERICANA;AMERICANA;194;193113;55193113;CTBCTELECOM;LDN;0,152
SPAMR;11020;AMERICANA;AMERICANA;194;193405;55193405;TELEFÔNICA-TELESP;LDN;0,152
SPAMR;11020;AMERICANA;AMERICANA;194;193406;55193406;TELEFÔNICA-TELESP;LDN;0,152
